PLAYER,YEAR,TEAM,All-Star,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,
Aaron Gordon,2019,ORL,0,24,49,22,27,32.2,14.2,5.3,12.6,42.4,1.2,4,30.8,2.3,3.4,67.5,1.7,5.6,7.3,3.1,1.6,0.8,0.5,2,29.9,13,0,-2.6,105.7,109.2,-3.5,14.9,2.03,16.8,5,17.2,10.9,8.3,47.3,50.4,20.7,98.86,9.8,
Aaron Holiday,2019,IND,0,23,49,30,19,22.8,9.9,3.7,8.9,41.5,1.5,3.7,41.3,1,1.1,87,0.4,1.8,2.2,3.4,1.3,0.7,0.2,1.8,19.2,2,0,1.9,111,108.2,2.8,20.5,2.71,24.4,1.6,7.7,4.7,9,50,52.5,20,99.77,8.2,
Abdel Nader,2019,OKC,0,26,39,26,13,15.1,5.7,2,4.4,45.9,0.7,2.2,34.1,0.9,1.2,78.3,0.3,1.3,1.6,0.6,0.8,0.4,0.3,1.3,9.9,0,0,-1.5,98.5,103,-4.5,6.5,0.78,10.1,1.6,8.4,5,13,54.4,58,16.2,101.73,6.5,
Adam Mokoka,2019,CHI,0,21,6,1,5,3.6,2.5,1,2.5,40,0.5,1.2,42.9,0,0.3,0,0.7,0,0.7,0,0,0.2,0,0.2,3.8,0,0,2.2,104.3,81.8,22.4,0,0,0,12.5,0,7.7,0,50,47.2,26.3,100.03,8.8,
Admiral Schofield,2019,WAS,0,23,26,8,18,11.2,3.2,1.2,2.9,40,0.5,1.8,29.8,0.3,0.5,69.2,0.2,1.1,1.3,0.5,0.3,0.3,0.1,1.6,6.6,0,0,-1.2,104.2,108.7,-4.6,6.8,2,13.7,1.8,9.2,5.4,6.9,49.3,51.4,12.4,103.17,3.7,
Al Horford,2019,PHI,0,34,50,30,20,30.9,12,4.9,11.1,44,1.4,4.4,32.7,0.8,1.1,73.2,1.5,5.2,6.7,3.9,1,0.9,0.9,2.1,30.2,4,0,2.1,107.5,103.8,3.7,17.7,3.71,23.4,4.9,16.1,10.6,6.3,50.5,51.9,17.5,100.71,11.1,
Al-Farouq Aminu,2019,ORL,0,29,18,7,11,21.1,4.3,1.4,4.8,29.1,0.5,2,25,1.1,1.6,65.5,1.3,3.5,4.8,1.2,0.9,1,0.4,1.5,15.3,1,0,-1.9,94.7,100.1,-5.4,8.8,1.24,15.2,5.3,15.8,10.2,12.3,34.3,39.5,12.7,100.15,6.3,
Alec Burks,2019,PHI,0,28,49,12,37,28.7,15.8,5,12.3,40.5,1.7,4.6,37.2,4.1,4.6,89.7,0.8,3.9,4.6,3.1,1.6,1,0.3,2.2,28.6,1,0,-5.3,107.5,103.8,3.7,17.7,3.71,23.4,4.9,16.1,10.6,6.3,50.5,51.9,17.5,100.71,11.1,
Alen Smailagic,2019,GSW,0,19,12,1,11,9.9,4.7,1.6,3,52.8,0.3,0.9,27.3,1.3,1.5,83.3,0.7,1.3,2,0.8,0.8,0.2,0.3,1,8.9,0,0,-1.1,107.5,103.8,3.7,17.7,3.71,23.4,4.9,16.1,10.6,6.3,50.5,51.9,17.5,100.71,11.1,
Alex Caruso,2019,LAL,0,26,50,39,11,18.2,5.5,1.9,4.5,42,0.7,1.9,36.2,1,1.3,78.5,0.2,1.7,1.9,1.7,0.8,1,0.3,1.6,13.5,0,0,3.9,107.5,103.8,3.7,17.7,3.71,23.4,4.9,16.1,10.6,6.3,50.5,51.9,17.5,100.71,11.1,
Alex Len,2019,SAC,0,27,40,9,31,18.6,8.7,3.6,6.5,54.6,0.4,1.4,25,1.3,2,63,1.7,4,5.8,1.1,1,0.5,0.8,2.3,20.2,7,0,-3.3,107.5,103.8,3.7,17.7,3.71,23.4,4.9,16.1,10.6,6.3,50.5,51.9,17.5,100.71,11.1,
Alfonzo McKinnie,2019,CLE,0,27,37,9,28,14.3,4.3,1.7,4.1,41.4,0.3,1.6,20.3,0.5,0.8,69,0.8,1.9,2.8,0.4,0.6,0.6,0.2,1.7,9.7,1,0,-1.7,107.3,113.2,-5.9,3.3,0.57,6.5,5.7,13.5,9.5,11.4,45.4,47.9,14.6,101.72,4.5,
Alize Johnson,2019,IND,0,24,11,8,3,4.2,1.6,0.6,1.3,50,0,0,0,0.4,0.5,66.7,0.5,0.8,1.4,0.2,0.1,0,0,0.5,3.5,0,0,0.5,113.7,112.2,1.5,5.6,2,10.5,11.1,20.5,15.3,5.3,50,54.1,13.9,104.82,8,
Allen Crabbe,2019,MIN,0,28,36,5,31,17.8,4.8,1.8,4.9,36,1,3.3,30.8,0.3,0.4,71.4,0.3,1.8,2.1,0.9,0.4,0.4,0.1,1.3,9.9,0,0,-6,97.6,112.7,-15.1,7.4,2.06,14.4,1.4,10,5.4,7,46.3,47.5,12.2,106.11,4.6,
Allonzo Trier,2019,NYK,0,24,20,2,18,12.3,6,1.9,4.3,43.5,0.8,2.3,32.6,1.6,2,79.5,0.2,1.1,1.3,1.2,1,0.1,0.2,1.2,9.3,0,0,-3.9,97,111.5,-14.6,16.7,1.2,16.3,1.4,8.9,4.8,13.6,52.4,58.7,20.3,103.13,8,
Amile Jefferson,2019,ORL,0,27,18,5,13,4.1,0.8,0.3,0.8,35.7,0,0,0,0.3,0.8,35.7,0.6,0.7,1.3,0.2,0.2,0.1,0.2,0.4,3.2,0,0,1,96.9,88.4,8.5,7.8,1.33,14.3,11.2,16.3,13.6,10.7,35.7,37.2,12.9,101.71,5.1,
Amir Coffey,2019,LAC,0,23,6,2,4,8.9,3.2,1.5,3,50,0.2,0.8,20,0,0.2,0,0.3,0.8,1.2,0.5,0.3,0.2,0.2,0.7,6,0,0,2.2,114.9,100.9,14.1,7.5,1.5,13,3.6,8.9,6.3,8.7,52.8,51.5,15.2,103.5,6.6,
Andre Drummond,2019,CLE,0,26,51,18,33,33.4,17.7,7.3,13.8,52.8,0.1,0.5,12,3,5.2,58.1,4.7,11.1,15.8,2.8,3.6,1.9,1.7,3.5,48,44,0,-2.8,107,111.2,-4.1,13.6,0.78,12.4,13.4,33.9,23.3,15.9,53,54.9,25.2,98.65,15.6,
Andre Iguodala,2019,MIA,0,36,3,1,2,21.1,4.3,1.7,3,55.6,1,2.3,42.9,0,0,0,1.7,3.7,5.3,2.3,1.3,0.3,0.3,2.3,14.9,0,0,7.7,116.5,101.5,15.1,13.7,1.75,35,7.5,15.5,11.6,20,72.2,72.2,8.3,104.68,7.8,
Andrew Wiggins,2019,GSW,0,25,45,12,33,34.5,22.5,8.3,18.4,45.1,2.2,6.4,34.1,3.6,5.1,71.9,1.1,4,5,3.7,2.6,0.8,0.9,2.4,36.7,2,1,-2.3,108.1,111.3,-3.2,18.3,1.45,13.8,2.9,11.1,6.9,9.5,51,54.3,27.3,103.83,10.8,
Anfernee Simons,2019,POR,0,21,55,24,31,22.2,9.1,3.4,8.2,41.5,1.2,3.4,34,1.2,1.4,82.1,0.4,2.1,2.5,1.5,1,0.3,0.2,2,14.8,1,0,-4,105.3,113.5,-8.2,10.2,1.57,13.4,1.6,8.4,5,8.5,48.6,51.7,18.1,103.1,6.1,
Ante Zizic,2019,CLE,0,23,16,2,14,10,4.3,1.8,3.1,57.1,0,0,0,0.8,0.9,86.7,0.9,2.6,3.4,0.2,0.3,0.4,0.3,1.3,10.3,1,0,0.1,114.3,114.7,-0.4,2.6,0.6,4.8,8.8,25.9,17.4,7.9,57.1,62.1,15.4,102.95,12,
Anthony Davis,2019,LAL,1,27,46,36,10,34.7,26.6,9.3,17.9,51.9,1.1,3.4,31.6,7,8.2,85.3,2.1,7.2,9.2,3.3,2.4,1.6,2.4,2.4,52,23,0,4.7,112.3,106.3,5.9,15.3,1.36,12.2,5.8,19.8,12.9,9,54.8,61.9,28.2,102.5,18.3,
Anthony Tolliver,2019,MEM,0,35,42,19,23,15.1,3.3,1.1,3.2,34.3,0.8,2.5,30.8,0.3,0.5,66.7,0.7,2.2,2.9,0.8,0.6,0.3,0.2,1.4,8.9,1,0,-3.7,104.5,115.6,-11.1,6.7,1.28,16,4,13.9,8.7,12.5,46.3,48.2,10.9,103.74,4.4,
Antonius Cleveland,2019,DAL,0,26,6,4,2,3.7,0.8,0.3,1,33.3,0,0.2,0,0.2,0.3,50,0,0.5,0.5,0,0.2,0.2,0.2,0.3,2.3,0,0,-1.8,97.9,123.9,-26,0,0,0,0,25,7.7,12.5,33.3,36.3,14.3,99.87,1.6,
Anzejs Pasecniks,2019,WAS,0,24,20,7,13,18.5,7,2.7,5.1,52.9,0,0.1,0,1.6,2.5,62,1.9,2.9,4.7,0.9,1.1,0.4,0.5,2.9,15.5,0,0,0.2,110.7,109.3,1.3,6.5,0.77,10.5,9,15.9,12.2,13.6,52.9,56,15.9,103.81,6.7,
Aron Baynes,2019,PHX,0,33,33,15,18,22.9,11.5,4.4,9,49,1.3,3.8,33.3,1.3,1.8,72.1,1.6,4.1,5.8,1.9,1.2,0.2,0.6,3.5,22.4,2,0,-1.2,108.5,110.5,-2,12.3,1.59,14.7,7,17.8,12.3,9.2,56,58.2,19.8,103.28,9.6,
Austin Rivers,2019,HOU,0,27,50,33,17,23.6,8.5,3,7.4,41.2,1.3,4,33.7,1.1,1.5,68.8,0.4,2.1,2.4,1.5,0.6,0.7,0.2,1.8,15.6,0,0,1.5,113.4,110.3,3.1,8.9,2.57,15.2,1.4,8.2,4.7,5.9,50.3,52.6,14.8,105.74,5.8,
Avery Bradley,2019,LAL,0,29,39,28,11,23.4,8.5,3.5,7.6,45.9,1.1,3.1,37,0.4,0.5,80,0.4,1.8,2.2,1.2,0.9,0.8,0.1,2.3,14.6,0,0,2.6,110.8,105.5,5.3,6.5,1.22,11.7,1.9,7.4,4.7,9.6,53.4,54.5,15.5,102.41,5.3,
BJ Johnson,2019,ORL,0,24,8,4,4,5.8,1.6,0.6,2.3,27.8,0.1,0.8,16.7,0.3,0.3,100,0.1,0.6,0.8,0.3,0.4,0.3,0,0,3.3,0,0,-2.9,103.6,110.5,-7,7.3,0.98,10.3,11.9,17.4,14.6,10.6,54.2,57.1,17,96.49,9.8,
Bam Adebayo,2019,MIA,1,22,54,35,19,34.5,15.8,6.2,10.7,57.9,0,0.2,9.1,3.4,5.1,68.1,2.6,7.8,10.4,4.9,2.7,1.2,1.2,2.4,40.3,31,3,3,111.8,107.4,4.4,22.3,1.83,24,7.9,21.8,15.1,13.1,58,61.3,19.9,98.22,14.8,
Ben McLemore,2019,HOU,0,27,54,34,20,23.6,10.2,3.4,7.9,43.6,2.5,6.6,38.1,0.8,1.1,75.9,0.3,1.9,2.2,0.9,0.8,0.6,0.2,2,16,1,0,3.6,115.4,108.8,6.6,5.3,1.17,9,1.2,7.4,4.3,7.7,59.4,60.9,15.7,104.61,6.4,
Ben Simmons,2019,PHI,1,23,53,33,20,36.3,16.9,6.8,11.6,58.4,0,0.1,33.3,3.3,5.3,62.8,2,5.9,7.9,8.3,3.6,2.2,0.6,3.3,43.6,30,6,1.6,109.2,106.9,2.3,34,2.31,32.1,5.4,15.8,10.6,13.9,58.5,60.7,20.5,100.94,14.4,
Bismack Biyombo,2019,CHA,0,27,45,14,31,19.2,7.5,2.9,5.3,54.2,0,0,0,1.7,2.8,61.4,2.4,3.5,5.8,0.9,0.9,0.2,0.8,2.2,18,7,0,-3,103.6,110.5,-7,7.3,0.98,10.3,11.9,17.4,14.6,10.6,54.2,57.1,17,96.49,9.8,
Blake Griffin,2019,DET,0,31,18,8,10,28.5,15.5,4.9,13.9,35.2,1.5,6.2,24.3,4.2,5.4,77.6,0.9,3.7,4.7,3.3,2.2,0.4,0.4,1.5,26.1,2,0,-1.4,109.3,111.9,-2.6,18.4,1.48,15.1,3.2,12.8,7.9,10.3,40.6,47.6,27.7,98.24,8.4,
