PLAYER,YEAR,TEAM,All-Star,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTÂ Ratio,OREB%,DREB%,REB%,TOÂ Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
Aaron Gordon,2019,ORL,0,24,42,19,23,31.7,13.3,5,12.1,41.8,1.1,3.8,28.6,2.1,3.1,66.4,1.7,5.5,7.2,2.9,1.6,0.7,0.5,2,28.2,11,0,-2.9,104.9,108.8,-3.9,13.8,1.83,16.2,4.8,17,10.7,8.8,46.4,49.3,20.2,99.08,9.3,"2,741"
Aaron Holiday,2019,IND,0,23,45,30,15,23.4,10.4,3.9,9.1,42.4,1.6,3.7,42.5,1,1.2,87,0.4,1.9,2.3,3.5,1.3,0.8,0.2,1.8,20,2,0,2.4,110.9,107,3.9,20.9,2.65,24.4,1.6,7.7,4.7,9.2,51.1,53.7,20.1,99.55,8.7,"2,192"
Abdel Nader,2019,OKC,0,26,33,22,11,15.8,6,2.2,4.6,47,0.8,2.3,36.4,0.8,1.1,80,0.3,1.2,1.5,0.7,0.8,0.3,0.3,1.3,10,0,0,-1,100.1,102.9,-2.8,6.8,0.86,11.1,1.9,7.6,4.7,12.9,56.3,59.5,15.8,102.33,6.4,"1,113"
Adam Mokoka,2019,CHI,0,21,3,1,2,2.9,0,0,2.3,0,0,1.3,0,0,0,0,0.7,0,0.7,0,0,0,0,0,0.8,0,0,-1,52.6,76.5,-23.8,0,0,0,14.3,0,8,0,0,0,31.8,98.93,-27.9,19
Admiral Schofield,2019,WAS,0,23,26,8,18,11.2,3.2,1.2,2.9,40,0.5,1.8,29.8,0.3,0.5,69.2,0.2,1.1,1.3,0.5,0.3,0.3,0.1,1.6,6.6,0,0,-1.2,104.2,108.7,-4.6,6.8,2,13.7,1.8,9.2,5.4,6.9,49.3,51.4,12.4,103.17,3.7,626
Al Horford,2019,PHI,0,34,44,27,17,31.1,12.5,5.1,11.4,45.1,1.4,4.3,32.1,0.9,1.2,72.2,1.6,5.1,6.7,4,1.1,1,0.9,2.2,31.1,4,0,3,107.8,102.8,5,18.4,3.59,23.5,5,15.9,10.5,6.5,51.2,52.6,17.9,100.58,11.5,"2,864"
Al-Farouq Aminu,2019,ORL,0,29,18,7,11,21.1,4.3,1.4,4.8,29.1,0.5,2,25,1.1,1.6,65.5,1.3,3.5,4.8,1.2,0.9,1,0.4,1.5,15.3,1,0,-1.9,94.7,100.1,-5.4,8.8,1.24,15.2,5.3,15.8,10.2,12.3,34.3,39.5,12.7,100.15,6.3,797
Alec Burks,2019,PHI,0,28,46,9,37,29.1,15.8,5,12.5,40.2,1.7,4.5,36.4,4.1,4.6,89.6,0.8,4,4.8,3.2,1.6,1,0.3,2.3,28.9,1,0,-5.9,101.1,110.9,-9.9,18.3,2.03,16.6,2.5,13.4,7.8,8.2,46.9,54.5,22.8,102.17,11.3,"2,851"
Alen Smailagic,2019,GSW,0,19,9,1,8,10.3,4.7,1.8,3.2,55.2,0.2,1,22.2,0.9,1.1,80,0.8,1.7,2.4,0.9,0.6,0.1,0.3,1.1,9.7,0,0,0.3,108.5,107.5,1,12.7,1.6,17.4,8,13.6,11.2,10.9,58.6,62.9,17.3,103.74,10.8,200
Alex Caruso,2019,LAL,0,26,43,34,9,18.9,5.5,1.9,4.6,40.6,0.7,1.9,34.6,1.1,1.4,80,0.2,1.7,1.9,1.8,0.9,1.1,0.3,1.6,13.7,0,0,4.7,111,98.8,12.2,12,2,22.6,1.2,8.2,4.9,11.3,47.7,52.8,13.4,102.51,6.8,"1,732"
Alex Len,2019,SAC,0,27,40,9,31,18.6,8.7,3.6,6.5,54.6,0.4,1.4,25,1.3,2,63,1.7,4,5.8,1.1,1,0.5,0.8,2.3,20.2,7,0,-3.3,101.7,110,-8.3,9.2,1.08,11.1,8.4,19.2,13.8,10.3,57.3,59,18.3,104.78,11.7,"1,628"
Alfonzo McKinnie,2019,CLE,0,27,34,8,26,14.2,4.2,1.6,4,41.2,0.3,1.5,21.2,0.6,0.8,70.4,0.9,2,2.9,0.4,0.6,0.6,0.2,1.8,9.8,1,0,-1.2,107.2,111.6,-4.4,3.6,0.59,7.1,6.1,14.1,10.1,12,45.2,48,14.5,102.25,4.6,"1,029"
Alize Johnson,2019,IND,0,24,11,8,3,4.2,1.6,0.6,1.3,50,0,0,0,0.4,0.5,66.7,0.5,0.8,1.4,0.2,0.1,0,0,0.5,3.5,0,0,0.5,113.7,112.2,1.5,5.6,2,10.5,11.1,20.5,15.3,5.3,50,54.1,13.9,104.82,8,102
Allen Crabbe,2019,MIN,0,28,32,4,28,18.3,5,1.8,5,36,1,3.3,31.1,0.3,0.4,71.4,0.3,1.9,2.2,1,0.5,0.5,0.1,1.3,10.4,0,0,-5.9,98.5,113.2,-14.6,7.6,2.07,14.6,1.4,10,5.4,7.1,46.3,47.6,12.5,105.38,4.7,"1,283"
Allonzo Trier,2019,NYK,0,24,20,2,18,12.3,6,1.9,4.3,43.5,0.8,2.3,32.6,1.6,2,79.5,0.2,1.1,1.3,1.2,1,0.1,0.2,1.2,9.3,0,0,-3.9,97,111.5,-14.6,16.7,1.2,16.3,1.4,8.9,4.8,13.6,52.4,58.7,20.3,103.13,8,528
Amile Jefferson,2019,ORL,0,27,17,5,12,4.3,0.9,0.3,0.8,38.5,0,0,0,0.3,0.8,35.7,0.5,0.8,1.3,0.2,0.2,0.1,0.2,0.4,3.3,0,0,1.2,97.5,87.6,9.9,7.8,1.33,14.8,10.3,16.3,13.2,11.1,38.5,39.1,12.5,101.8,5.4,159
Amir Coffey,2019,LAC,0,23,2,1,1,2.7,2.5,1,1.5,66.7,0.5,1,50,0,0,0,0,0,0,0.5,0,0,0,0.5,3.3,0,0,-3,107.7,133.3,-25.6,33.3,0,25,0,0,0,0,83.3,83.3,23.1,125.22,14,13
Andre Drummond,2019,CLE,0,26,45,15,30,33.6,17.2,7.1,13.5,52.2,0,0.5,4.8,3,5.1,58.9,4.5,11.1,15.6,2.8,3.6,2.1,1.8,3.7,48,38,0,-2.6,107.2,110.8,-3.6,13.2,0.77,12.5,13,33.5,23,16.2,52.3,54.4,24.8,98.78,15.2,"3,115"
Andrew Wiggins,2019,GSW,0,25,39,12,27,34.8,22.9,8.6,19.2,44.8,2.2,6.7,33.3,3.5,4.9,72.1,1.2,4,5.2,3.7,2.5,0.7,0.9,2.4,36.8,2,1,-2.2,108.2,111,-2.8,18.2,1.5,13.5,3,11.2,6.9,9,50.6,53.8,27.7,103.66,10.9,"2,931"
Anfernee Simons,2019,POR,0,21,48,21,27,22.8,9.1,3.4,8.5,40.4,1.1,3.5,31.5,1.1,1.4,79.4,0.4,2.1,2.5,1.5,1,0.4,0.2,2.1,14.8,1,0,-4.9,104.5,114.2,-9.7,9.7,1.43,12.6,1.5,8.2,4.8,8.8,46.9,49.9,18.2,103,5.5,"2,342"
Ante Zizic,2019,CLE,0,23,16,2,14,10,4.3,1.8,3.1,57.1,0,0,0,0.8,0.9,86.7,0.9,2.6,3.4,0.2,0.3,0.4,0.3,1.3,10.3,1,0,0.1,114.3,114.7,-0.4,2.6,0.6,4.8,8.8,25.9,17.4,7.9,57.1,62.1,15.4,102.95,12,343
Anthony Davis,2019,LAL,1,27,39,31,8,34.6,26.5,9.2,18.1,50.5,1.1,3.5,30.4,7.1,8.2,86.5,2.1,7.1,9.1,3.2,2.4,1.5,2.5,2.6,51.7,18,0,4.8,110.9,104.9,6,15.1,1.32,11.8,5.9,19.3,12.7,8.9,53.5,60.9,28.6,102.46,18.2,"2,885"
Anthony Tolliver,2019,MEM,0,35,38,17,21,15.8,3.5,1.2,3.3,34.6,0.8,2.6,31.3,0.3,0.5,68.4,0.8,2.3,3.1,0.8,0.6,0.2,0.3,1.6,9.4,1,0,-4.4,103.3,116.1,-12.8,7.3,1.39,16.8,4.2,14.1,8.9,12.1,46.9,48.8,10.9,103.96,4.5,"1,295"
Antonius Cleveland,2019,DAL,0,26,3,2,1,4.6,1.3,0.7,1,66.7,0,0.3,0,0,0,0,0,1,1,0,0.3,0,0,0,2.2,0,0,-0.3,121.4,129.6,-8.2,0,0,0,0,33.3,13,25,66.7,66.7,12.1,95.42,7.3,28
Anzejs Pasecniks,2019,WAS,0,24,19,6,13,19.5,7.3,2.8,5.4,52.9,0,0.1,0,1.6,2.6,62,1.9,3,4.9,0.9,1.2,0.4,0.5,3.1,16.3,0,0,0.2,110.7,109.5,1.2,6.5,0.77,10.5,9,15.9,12.2,13.6,52.9,56,15.9,103.75,6.7,797
Aron Baynes,2019,PHX,0,33,33,15,18,22.9,11.5,4.4,9,49,1.3,3.8,33.3,1.3,1.8,72.1,1.6,4.1,5.8,1.9,1.2,0.2,0.6,3.5,22.4,2,0,-1.2,108.5,110.5,-2,12.3,1.59,14.7,7,17.8,12.3,9.2,56,58.2,19.8,103.28,9.6,"1,623"
Austin Rivers,2019,HOU,0,27,43,28,15,23.6,8.6,3.1,7.4,42.1,1.3,3.9,33.7,1,1.6,67.2,0.4,2,2.5,1.6,0.7,0.7,0.2,2,15.8,0,0,1.7,114.5,111.1,3.5,9.2,2.46,15.6,1.7,8,4.8,6.3,51.1,53.2,14.9,106.11,5.8,"2,238"
Avery Bradley,2019,LAL,0,29,32,23,9,23,7.4,3.2,7.3,44.4,0.7,2.6,26.8,0.3,0.4,75,0.4,1.7,2.2,1.1,1.1,0.9,0.1,2.3,13.3,0,0,2,108.8,104.5,4.3,6.1,1,11.2,1.9,7.1,4.6,11.2,49.1,49.9,15.4,102.2,4.2,"1,563"
BJ Johnson,2019,ORL,0,24,6,3,3,6.9,2.2,0.8,2.7,31.3,0.2,1,16.7,0.3,0.3,100,0.2,0.8,1,0.3,0.5,0.3,0,0,4.4,0,0,-2.2,82.3,100,-17.7,10,0.67,9.1,2,10,5.9,13.6,34.4,38.5,18.3,109.01,6.7,96
Bam Adebayo,2019,MIA,1,22,47,32,15,34.5,16,6.1,10.4,58.9,0,0.2,9.1,3.6,5.3,69.2,2.5,7.9,10.4,4.7,2.8,1.2,1.1,2.5,39.6,27,3,4,112.1,106.4,5.8,21.3,1.69,23.3,7.8,21.6,15.1,13.7,59,62.5,19.9,98.34,14.9,"3,318"
Ben McLemore,2019,HOU,0,27,47,29,18,23.7,10,3.4,7.9,42.9,2.5,6.6,37.8,0.8,1,76.6,0.3,1.9,2.3,0.9,0.9,0.6,0.2,2.2,15.8,1,0,4.1,115.6,107.8,7.8,5.2,1.08,9.1,1.3,7.5,4.5,8.4,58.8,60.3,15.7,104.97,6.1,"2,434"
Ben Simmons,2019,PHI,1,23,47,30,17,36.1,16.6,6.7,11.5,58.3,0,0.1,40,3.2,5.1,62,2,5.8,7.7,8.3,3.4,2.2,0.6,3.3,43.4,26,4,2.5,109.5,106.1,3.5,33.8,2.41,32.5,5.3,15.5,10.4,13.5,58.4,60.4,20.2,100.76,14.5,"3,562"
Bismack Biyombo,2019,CHA,0,27,43,13,30,19.1,7.5,2.9,5.4,53.7,0,0,0,1.7,2.7,61.9,2.3,3.5,5.9,0.8,0.9,0.2,0.8,2.2,18,6,0,-2.7,102.8,109.1,-6.3,7.2,0.95,10,11.6,17.9,14.7,10.6,53.7,56.7,17.2,96.47,9.9,"1,647"
Blake Griffin,2019,DET,0,31,18,8,10,28.5,15.5,4.9,13.9,35.2,1.5,6.2,24.3,4.2,5.4,77.6,0.9,3.7,4.7,3.3,2.2,0.4,0.4,1.5,26.1,2,0,-1.4,109.3,111.9,-2.6,18.4,1.48,15.1,3.2,12.8,7.9,10.3,40.6,47.6,27.7,98.24,8.4,"1,049"
Boban Marjanovic,2019,DAL,0,31,24,13,11,9.8,6.2,2.5,4.5,56,0.1,0.3,25,1,1.4,70.6,1.3,3,4.4,0.4,0.8,0.2,0.2,1.5,12.4,3,0,3.1,122.8,105.9,16.9,5.6,0.5,6,13.9,28.4,21.5,12,56.9,59.7,24.9,100.4,14.2,487
Bobby Portis,2019,NYK,0,25,49,13,36,20.8,9.5,3.8,8.7,43.4,1,2.8,35.3,1,1.4,73.1,1.4,3.9,5.3,1.6,1,0.5,0.2,1.8,19.4,5,0,-3.8,100.2,109.9,-9.7,12.1,1.54,13.3,6,18,11.8,8.7,49.2,51.4,20,102.17,10.4,"2,186"
Bogdan Bogdanovic,2019,SAC,0,27,37,16,21,28,14.6,5.4,12.4,43.4,2.6,7,37.5,1.2,1.8,66.7,0.4,2.8,3.2,3.3,1.9,0.9,0.2,2.1,25,2,0,-1.4,105.9,108.6,-2.6,20,1.73,18.2,1.2,10.1,5.6,10.5,53.9,55.2,23.2,97.33,10.2,"2,105"
Bojan Bogdanovic,2019,UTA,0,31,47,32,15,33.3,21.1,7,15.4,45.2,3.2,7.5,42.7,4,4.5,90,0.6,3.6,4.1,2,2.7,0.6,0.1,1.7,28.5,0,0,6.8,114.8,105.4,9.4,9.4,0.75,9.2,1.8,10,6.2,12.3,55.7,61,25.8,100.05,10.9,"3,268"
Brad Wanamaker,2019,BOS,0,30,46,32,14,18.2,6.1,2,4.8,41.7,0.4,1.3,32.3,1.6,1.8,91.5,0.3,1.7,2,2.6,1.1,0.6,0.2,1.8,13.7,0,0,1.9,106.5,101.1,5.4,20,2.38,27.7,1.5,8.4,5.1,11.6,46.2,54.2,15.5,101.33,8.1,"1,764"
Bradley Beal,2019,WAS,0,27,40,12,28,35.5,28.7,9.7,21.5,45.3,2.6,7.9,32.5,6.7,7.9,85,1,3.5,4.5,6.4,3.3,1,0.3,2.3,44.3,7,0,-5.7,113.5,120.7,-7.3,28.9,1.97,18.6,2.8,9.9,6.2,9.4,51.3,57.6,32.3,103.79,13.6,"3,067"
